Datetime,AAPL_forecast_garch_h,AMD_forecast_garch_h,AMZN_forecast_garch_h,GOOGL_forecast_garch_h,IBM_forecast_garch_h,META_forecast_garch_h,MSFT_forecast_garch_h,NVDA_forecast_garch_h,SPY_forecast_garch_h,TSLA_forecast_garch_h,AAPL_forecast_har_h,AMD_forecast_har_h,AMZN_forecast_har_h,GOOGL_forecast_har_h,IBM_forecast_har_h,META_forecast_har_h,MSFT_forecast_har_h,NVDA_forecast_har_h,SPY_forecast_har_h,TSLA_forecast_har_h,AAPL_forecast_rfsv_h,AMD_forecast_rfsv_h,AMZN_forecast_rfsv_h,GOOGL_forecast_rfsv_h,IBM_forecast_rfsv_h,META_forecast_rfsv_h,MSFT_forecast_rfsv_h,NVDA_forecast_rfsv_h,SPY_forecast_rfsv_h,TSLA_forecast_rfsv_h,AAPL_actuals_h,AMD_actuals_h,AMZN_actuals_h,GOOGL_actuals_h,IBM_actuals_h,META_actuals_h,MSFT_actuals_h,NVDA_actuals_h,SPY_actuals_h,TSLA_actuals_h
2025-07-25 05:00:00,-16.01943101545017,-16.782979709744154,-13.550002493290162,-10.38415369716754,-9.212376931031145,-16.370730096702594,-12.651013065212911,-13.73322609048036,-14.723623714193112,-9.398800052111003,-24.126379027515995,-23.030491452432123,-22.481281667270945,-18.091021200227246,-18.022601229740385,-24.21548437081344,-20.32141567580836,-21.42331521067498,-21.55847256540807,-19.708488705940823,-20.29617160897112,-21.476505657287703,-18.695829568647127,-15.686844116170949,-16.249511435477785,-16.697579548795893,-16.708438325938634,-17.687212658126626,-14.11628829871845,-15.243741371582502,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-25 06:00:00,-16.04236728230915,-16.783443499443308,-13.576491773730476,-10.392599285715367,-9.211616000158957,-16.37306536908948,-12.655023420678894,-13.740076266732851,-14.673187805577848,-9.40633396041875,-23.984978578807414,-22.82062902601823,-22.453212419522533,-18.021156083462188,-17.91971074266249,-24.093471592427615,-20.165854207398674,-21.323087689168894,-21.53736720290684,-19.614264038054294,-19.86706540241737,-22.6835551341074,-16.460409208366354,-13.457058780157206,-12.762251110433954,-16.370435168563112,-17.37748612996621,-17.095492361268285,-15.66445981590473,-15.002388778706,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-25 07:00:00,-16.0638209418555,-16.782610626765027,-13.547920236114345,-10.403540122175574,-9.220423812688983,-16.37386149789827,-12.659799975711868,-13.746514059550867,-14.649220700044573,-9.416188529007519,-24.00259032063522,-22.849400138156398,-22.462434555862714,-18.046958628025017,-17.934918741320313,-24.113318742241955,-20.178592371418823,-21.33665954207006,-21.552174316065365,-19.64050564305218,-18.047165520597297,-20.390605085521265,-19.32704429755542,-12.900820127627236,-14.562429526392393,-13.81646302128659,-18.922249924572675,-17.283370491404156,-15.62140724681806,-14.78559791387247,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-25 08:00:00,-15.852674096532663,-16.662042204433504,-13.715419758509807,-10.351599961291035,-9.211814178091185,-16.351551048081596,-12.449555302661418,-13.688109011574856,-14.97471950278377,-9.37765176096644,-23.991717888920917,-22.831408682707703,-22.393082412886223,-18.010416006655326,-17.887890486278696,-24.089660697147192,-20.15318102587434,-21.293009717755076,-21.51973541612389,-19.617176402924265,-17.644380412421466,-21.144991935752927,-18.926801966336363,-13.178075652204631,-14.426231702015873,-15.653290712292733,-17.05816204974584,-15.547617414679664,-11.623218219865711,-13.096616051183275,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-25 09:00:00,-15.862472492502787,-16.67132302931647,-13.713755098872475,-10.357244557742895,-9.215639652091138,-16.356572161378537,-12.45224875690902,-13.67874206089702,-15.06724231001844,-9.382518011185185,-23.981549407397793,-22.8094137762234,-22.343411426932743,-17.9862196240719,-17.842642127620675,-24.077574002044866,-20.127288458988083,-21.250030613564455,-21.4925382960911,-19.580969609429616,-17.43810449010932,-23.391434578972728,-21.371862550666965,-11.6148198828118,-14.08633817270319,-14.307254970946769,-18.93047339212503,-16.855774547843577,-14.227310567273102,-15.446192783065566,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-25 10:00:00,-15.87277630536354,-16.68040100460977,-13.715781048980768,-10.363603555237415,-9.223077595532809,-16.36177836520882,-12.465224856882871,-13.699865382194746,-15.292863449171609,-9.38630432868132,-23.967532705574214,-22.81163983304672,-22.283898911611413,-17.950139165719335,-17.785733986006147,-24.052452766265898,-20.091836231377805,-21.21469497020727,-21.464760581767926,-19.552836878230437,-17.262734745003918,-24.41388056336829,-18.194785110897612,-13.980493866778279,-16.33014455324564,-14.445201390663547,-17.976702776516937,-18.092082136478954,-12.641160495659443,-13.401388041752742,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-25 11:00:00,-15.810800588129764,-16.683300060560942,-13.40059374551959,-10.307710458403998,-9.230364697102633,-16.336746555382987,-12.473540301929875,-13.761122476861457,-14.64500202197388,-9.389863931013725,-23.939332722323456,-22.778012039925244,-22.211904886036955,-17.896455082486717,-17.736870174043023,-24.022473131791454,-20.05703080026347,-21.168131292017513,-21.419229771826103,-19.50775500812896,-18.96760774907197,-24.72950668133253,-16.370438673755796,-14.456688735821256,-14.345965687986702,-18.60729860323638,-17.03726018872797,-19.427702028561693,-15.047244705517366,-15.305469133505607,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-25 12:00:00,-15.81239332199035,-16.692150493600938,-13.689626213142704,-10.314703201742974,-9.234684862153813,-16.34169123674019,-12.481875901061633,-13.766847707962652,-14.709953646589657,-9.39415599086994,-23.909283542104788,-22.74708876932271,-22.152896565941283,-17.855223090978647,-17.711624819481813,-23.998866225871605,-20.013020000657995,-21.122732072385453,-21.380049844703866,-19.4577542670081,-14.751190459949157,-21.369801405916434,-17.980540912094487,-12.629689858323033,-14.354495529961767,-18.218091845039293,-17.16268753180803,-18.088129535239545,-16.252012942543775,-16.090826516124007,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-25 13:00:00,-15.8240424870086,-16.696971550892506,-13.658252467455243,-10.321320607268792,-9.239395774646876,-16.346045629743962,-12.494549685232409,-13.770975020220295,-14.76196064624674,-9.398312980760533,-23.87773896932545,-22.711739668539416,-22.081161514800367,-17.803138012236737,-17.676098747475475,-23.954633990239298,-19.991882339897664,-21.10164429001712,-21.33528337202376,-19.430287481200146,-17.933089364007916,-21.634915017580482,-20.326060609116627,-11.497890030831462,-13.428529757197918,-17.22354086908381,-17.002318745947704,-18.741624006362795,-16.224873138336694,-14.331866954877608,-11.117567177775785,-7.228999003151335,-11.270516110836338,-10.350143460677938,-8.90681044109482,-12.114078507212527,-11.396673696944127,-11.085235702454456,-12.867560925639086,-7.17001825922416
2025-07-25 14:00:00,-15.834786413098765,-16.70499622167815,-13.685032682349815,-10.32744228853605,-9.245976240133269,-16.350201435861635,-12.506251624134583,-13.777037408193126,-14.829684560694712,-9.401549761903048,-23.848541358217958,-22.671121506564297,-22.01545192214543,-17.78688353438188,-17.62895806824275,-23.907111268408155,-19.9509727095542,-21.04198341242723,-21.295069069247134,-19.37463508394932,-16.939053748583625,-25.104716130615294,-19.993142983680492,-13.331323675119375,-15.384975154726158,-18.206375583371766,-15.249552751874575,-19.744110079335634,-13.401983146774437,-14.529251250764403,-15.90874608800531,-10.024044502459377,-11.5946023895582,-12.172381527284902,-15.107778448746087,-12.307435769250791,-11.731642682644893,-12.184963994945079,-14.10495781371951,-8.379083459427155
2025-07-25 15:00:00,-15.843958409459358,-16.711774175665504,-13.690332773957167,-10.332827877166864,-9.24154943766924,-16.3541905223822,-12.514864050798558,-13.783261700598889,-14.889942568425491,-9.405506440848468,-23.79579890674333,-22.545007292117944,-21.939445073891044,-17.625359545269788,-17.508078363767478,-23.817400634765658,-19.88001770065575,-20.966501045645288,-21.23945027829764,-19.194564003799016,-15.102284483753738,-25.612708728163806,-19.16446225437666,-12.311443334322451,-15.339974514475148,-14.887576090191335,-15.269663474112496,-20.223310124796452,-17.06253634752446,-15.766463729161194,-14.96984100098262,-10.770524810822476,-15.053628533779621,-13.149913385970027,-13.512311565175025,-16.048222540595834,-14.3940680070332,-12.650766366484934,-13.51378560903602,-8.383624135876516
2025-07-25 16:00:00,-15.85069294619036,-16.715321852876684,-13.696642496386437,-10.338703038074495,-9.244453940767267,-16.36081640332348,-12.525157844802012,-13.786248127806536,-14.828656848947874,-9.409129759636736,-17.22881538162541,-12.64494322491175,-10.967817594705345,-6.544164388274469,-4.1500587062354874,-13.577610908024251,-10.31597741555158,-11.795174242496927,-14.358691986688982,-5.2066078372394795,-16.656913340634823,-24.538828835413508,-19.425790748143985,-12.376230396617935,-16.395928226694714,-17.131193029839828,-15.429247436081653,-20.030943818118978,-17.196736210228487,-15.80408392787271,-13.766324125891996,-14.76764925052975,-12.299888351367226,-13.698258356906893,-11.07990096182247,-13.125214374335224,-12.538573558125604,-11.723566080889762,-15.421742949896265,-8.128633772197318
2025-07-25 17:00:00,-15.983836299607823,-16.72130927808213,-13.700463391476164,-10.343781781384513,-9.24717079373064,-16.36106534672857,-12.535296350540442,-13.790388334193901,-14.895119490846737,-9.412627586663463,-14.795995631627449,-11.7415301835996,-12.567081011173073,-7.998867385812426,-7.948848481088266,-16.005995680507862,-11.381335119328478,-13.026277937620463,-14.33494243986139,-9.975393028506806,-18.836277421883636,-24.564501674030907,-19.947227353751977,-9.54254472442484,-14.974392081817786,-17.560025838488087,-16.66737465288539,-17.795328897342884,-15.612856375258627,-18.30390391268336,-13.27811373010085,-11.07157208382984,-17.59261128401155,-15.235622902667046,-10.672104173532873,-10.923679304017258,-11.273871954937677,-13.216783015171375,-15.42563395384049,-12.529642141307637
2025-07-25 18:00:00,-15.995916060257668,-16.66650185086563,-13.284605432819868,-10.342467218630356,-9.247983003313855,-16.34258036711553,-12.53774452582012,-13.692298828560643,-14.887583701391637,-9.415924438256049,-14.845207002766742,-14.531859000005674,-18.663906598058972,-7.547918449469728,-8.152220862163876,-14.914091701503121,-12.262180210255588,-14.24938598863293,-13.968427341323636,-10.629792042449656,-18.248307624497812,-24.566329289746665,-18.6886612061154,-11.90029752114952,-14.015407825790609,-17.61332255141791,-18.771831997540552,-19.361974961253335,-14.785390913624848,-16.840097633137,-12.6122891582793,-11.112290145187757,-16.9831061548718,-13.340501065156676,-10.640297790453412,-11.231060910371836,-13.180600741259365,-14.176758856503676,-21.782654488425745,-8.652968899238845
2025-07-25 19:00:00,-16.0134569182796,-16.669538075600762,-13.657337136901388,-10.347436408289875,-9.252204527956634,-16.346099923314643,-12.54559593576244,-13.689289989832783,-14.941207974527522,-9.418558359960002,-16.281121854463393,-14.75900874278397,-21.00046210650668,-10.147324381441836,-8.840607289424458,-16.592691960034767,-12.816255641885315,-13.625086969294138,-14.344862400864688,-9.248803922001946,-19.911623755153506,-22.857291924272594,-18.858819397743083,-12.500265466313158,-16.078751133330712,-16.483244767658114,-17.895290061467744,-16.672070264227592,-13.757414186986725,-16.759599332567966,-12.282433132955768,-12.215916328674137,-13.348538543584432,-15.23439192055689,-11.665191965196788,-14.001048195338193,-10.472960511190669,-12.688899302259056,-15.256079438336343,-10.228227215532128
