datetime;HAR;RFSV;actuals
2018-11-21 11:45:00;-16.397230597781935;-15.88389177000457;-14.261077013697783
2018-11-21 11:50:00;-16.73257569071304;-15.237175974893526;-15.113400101731138
2018-11-21 11:55:00;-15.840655154705608;-15.302994712858045;-13.70239689842029
2018-11-21 12:00:00;-16.260487358227827;-16.08922055492603;-14.180152581481602
2018-11-21 12:05:00;-15.521097066513242;-15.257796081625617;-15.021534242668427
2018-11-21 12:10:00;-15.790192563961021;-16.024828514937855;-14.763626838146878
2018-11-21 12:15:00;-16.24004724135707;-15.034002533796015;-14.577767500757343
2018-11-21 12:20:00;-16.106198013841684;-16.05517681746891;-15.113923899043142
2018-11-21 12:25:00;-16.024449684223008;-15.822645661751219;-15.657082601306536
2018-11-21 12:30:00;-16.327482848066914;-15.72611649910484;-16.244871346498908
2018-11-21 12:35:00;-16.654337329248698;-16.56261158794146;-15.146496779740753
2018-11-21 12:40:00;-16.96636381136195;-16.202735968755192;-14.454903679108124
2018-11-21 12:45:00;-16.36881059887846;-15.573095839168671;-15.659156793912404
2018-11-21 12:50:00;-16.032170851127624;-15.970108105229276;-17.16371340362877
2018-11-21 12:55:00;-16.75399691819583;-15.949393071525822;-15.116374302487793
2018-11-21 13:00:00;-17.54222039618562;-16.16389502032374;-16.24789129859821
2018-11-21 13:05:00;-16.479425343474325;-15.43982685480209;-14.812976290403938
2018-11-21 13:10:00;-17.071785611754727;-16.050814721230374;-15.842363643451469
2018-11-21 13:15:00;-16.33610876976112;-16.258027742537394;-14.561034048273024
2018-11-21 13:20:00;-16.861804137030468;-15.851366318085178;-13.643376168512361
2018-11-21 13:25:00;-16.171419385011596;-16.90069126630921;-15.77526182645255
2018-11-21 13:30:00;-15.740856355495303;-16.120335215990227;-15.371141318126632
2018-11-21 13:35:00;-16.81886027879502;-16.07408781920433;-16.246466312471036
2018-11-21 13:40:00;-16.650714169034266;-16.437282789761042;-15.458735158509075
2018-11-21 13:45:00;-17.069056018602815;-16.2619425744926;-16.064960462491293
2018-11-21 13:50:00;-16.69814540519942;-15.990347147537447;-16.603039419668626
2018-11-21 13:55:00;-17.044806197230592;-15.690545834328853;-15.503971534675358
2018-11-21 14:00:00;-17.305157775606084;-15.842147228289944;-15.457029757956185
2018-11-21 14:05:00;-16.774825017149077;-15.956232094234197;-16.24483379450173
2018-11-21 14:10:00;-16.777523270772427;-16.208024595608023;-15.775261857817409
2018-11-21 14:15:00;-17.157015931108013;-16.597196420285815;-14.540619761129859
2018-11-21 14:20:00;-16.901237062016172;-16.040919501837266;-15.252257015780737
2018-11-21 14:25:00;-16.340989182898817;-15.990750673915196;-15.216832128430958
2018-11-21 14:30:00;-16.67002143816776;-16.285773687272325;-14.47695422150752
2018-11-21 14:35:00;-16.644301551247246;-16.229387983521878;-14.47044034388902
2018-11-21 14:40:00;-16.29671486749711;-16.473661928002734;-17.449363446543337
2018-11-21 14:45:00;-16.344947793682387;-15.206997711363238;-14.540087408423556
2018-11-21 14:50:00;-17.663269335715846;-15.22490972928558;-15.603332601978664
2018-11-21 14:55:00;-16.385667201011664;-15.56360885478187;-15.368717264443083
2018-11-21 15:00:00;-16.869878970320848;-15.468373899770885;-14.388225425022348
2018-11-21 15:05:00;-16.762600513108417;-15.164111041917268;-14.63641280967932
2018-11-21 15:10:00;-16.319285593334733;-15.739247474088618;-14.004347460616458
2018-11-21 15:15:00;-16.44095815064471;-15.62234331537129;-14.20247965220141
2018-11-21 15:20:00;-16.16158152084173;-15.60728819800225;-15.110536864609326
2018-11-21 15:25:00;-16.256731738455834;-15.614988253956945;-13.919955479911831
2018-11-21 15:30:00;-16.6456120536836;-15.561697759765552;-13.06993715469488
2018-11-21 15:35:00;-16.108240430531303;-15.593317427553016;-15.450057352530461
2018-11-21 15:40:00;-15.765761852911531;-14.971591102245501;-14.18243156991611
2018-11-21 15:45:00;-16.789387291742194;-15.467688899089215;-13.37426489207141
2018-11-21 15:50:00;-16.227032605863563;-15.511707797296184;-14.169757935222423
