datetime,rv,lvol,roughsim
2011-04-07,7.604475469578225e-05,-9.484188513422222,-9.501971651640908
2011-04-08,4.133913291701157e-05,-10.093700978361882,-9.766204423537504
2011-04-10,1.1295616808417143e-05,-11.391095800556382,-9.414825638452092
2011-04-11,5.7042277173038204e-05,-9.771717860266643,-9.094015234251835
2011-04-12,6.330664554049644e-05,-9.6675202494827,-9.462602558147735
2011-04-13,6.313842381711366e-05,-9.670181038447986,-8.998914060616489
2011-04-14,6.62254784350164e-05,-9.622445298445427,-9.109932266745263
2011-04-15,5.450670459302175e-05,-9.817186843805978,-10.096387413162223
2011-04-17,6.310531007618612e-06,-11.973290731605,-9.330121822015997
2011-04-18,0.00012111020607037592,-9.018809632918636,-9.106819942679861
2011-04-19,6.593962557186728e-05,-9.626770998652441,-8.864161876105419
2011-04-20,5.272460690899993e-05,-9.850428287122725,-8.004734466921686
2011-04-21,3.4771482506906184e-05,-10.2667129753238,-9.195893747416582
2011-04-24,5.280573163907446e-06,-12.151475912367289,-9.131846510316318
2011-04-25,2.5531145895627597e-05,-10.57561144343975,-9.719154109540737
2011-04-26,3.6653993916152956e-05,-10.213988161049043,-8.935062336587253
2011-04-27,4.078221644222996e-05,-10.10726444308773,-9.140110062696335
2011-04-28,3.94635607536874e-05,-10.140132824398666,-9.812280049962803
2011-04-29,2.320343006478789e-05,-10.671210442600225,-9.687601892598952
2011-05-01,2.55344245615844e-05,-10.575483033400188,-10.018040461321661
2011-05-02,3.67629613378872e-05,-10.21101970501942,-10.078185575531329
2011-05-03,5.7023424142136085e-05,-9.772048424684455,-10.873958391870648
2011-05-04,8.582881878114415e-05,-9.363155724636384,-9.610636080355217
2011-05-05,0.00013498661322273152,-8.910334945755753,-9.434628215440627
2011-05-06,0.0001350938276631479,-8.909541001213181,-9.973829541473572
2011-05-08,3.0809190722030016e-05,-10.38769751243128,-11.326613625725702
2011-05-09,7.819658631247228e-05,-9.456284564659034,-10.524834573144046
2011-05-10,4.956203115355074e-05,-9.912285518315322,-11.780627683144482
2011-05-11,7.68497399364438e-05,-9.473658472026464,-12.172603052951773
2011-05-12,9.574652732977693e-05,-9.253806198657546,-11.078319079754568
2011-05-13,8.877608057497473e-05,-9.32939330714528,-9.498393464110643
2011-05-15,2.0619572807201682e-05,-10.789269796990569,-9.826159952786158
2011-05-16,8.567263288075044e-05,-9.364977119639853,-8.765862332352128
2011-05-17,0.00010940762204849429,-9.120429999027698,-8.462739266628002
2011-05-18,5.780127870092273e-05,-9.758499659677314,-9.042903307799103
2011-05-19,7.094495415187095e-05,-9.553606275254118,-7.693411721616727
2011-05-20,5.306151643441939e-05,-9.844058630047176,-7.770820149281322
2011-05-22,1.4884271098756906e-05,-11.115205533539557,-8.069850680868726
2011-05-23,8.96100205103028e-05,-9.320043408184087,-8.714865803344928
2011-05-24,8.014731915023515e-05,-9.43164412737534,-8.355126519527062
2011-05-25,7.691120618808544e-05,-9.472858967907051,-8.894554702457079
2011-05-26,7.777053781522056e-05,-9.461747889822666,-9.088729492007266
2011-05-27,4.402635042965001e-05,-10.03072222989799,-8.923464757979612
2011-05-29,4.416528543291719e-06,-12.330156567906139,-7.954549422814896
2011-05-30,1.5963877496972406e-05,-11.045182044512291,-10.511813651462734
2011-05-31,5.05010265349553e-05,-9.893516894464701,-9.839545748350966
2011-06-01,9.090836872691875e-05,-9.305658495815955,-9.811047765707857
2011-06-02,0.00011576665915006591,-9.063933951811244,-8.657036179187813
2011-06-03,0.00014578765077089069,-8.833359441765076,-10.590834973126707
2011-06-05,1.3643909973855587e-05,-11.202217291651897,-8.64202459813838
2011-06-06,8.541470406096816e-05,-9.36799229329094,-9.721625252438608
2011-06-07,6.945575987647921e-05,-9.574820556616434,-9.725591187758555
2011-06-08,0.00010783866078600047,-9.134874329404832,-9.827859042351104
2011-06-09,7.652767912633726e-05,-9.477858063927433,-8.574016820246433
2011-06-10,0.00010287529096461394,-9.181993070639434,-9.23308551978382
2011-06-12,9.024602991615177e-06,-11.615556044561645,-9.176222296052378
2011-06-13,9.504011081047959e-05,-9.261211536415438,-8.586022126724771
2011-06-14,6.30537636716219e-05,-9.671522803891282,-8.502968952424462
2011-06-15,0.00013026407937952221,-8.94594678812833,-9.0330465954326
2011-06-16,0.0001535576438832156,-8.781434531247019,-9.301742994951216
2011-06-17,0.00010095682153759861,-9.200817642059993,-9.969573855963828
2011-06-19,1.60125130368354e-05,-11.042140076575608,-7.94386643576135
2011-06-20,8.498225451600822e-05,-9.373068093669435,-9.314351287344842
2011-06-21,6.540282593677144e-05,-9.634945090392272,-9.879020749425845
2011-06-22,8.712962144825145e-05,-9.348113646407993,-9.5924482924935
2011-06-23,0.00018663169621095307,-8.586373422180879,-10.573612843549096
2011-06-24,0.0001290345817947149,-8.95543011360051,-10.378147685020254
2011-06-26,2.653066118814013e-05,-10.537209467843232,-9.327372260344672
2011-06-27,8.776258637293135e-05,-9.340875271454676,-9.96823103375936
2011-06-28,8.14858304019987e-05,-9.415081412931052,-9.332921543085849
2011-06-29,0.00011680529482363515,-9.055002156203493,-10.516091449441218
2011-06-30,5.59599426723829e-05,-9.790874432606708,-10.981059510588695
2011-07-01,5.589571990989799e-05,-9.792022747641628,-11.223742350824683
2011-07-03,3.0921218428553684e-06,-12.686653022176106,-10.391300776892018
2011-07-04,2.4852028874733044e-05,-10.602571163895924,-10.612406262950751
2011-07-05,5.936297050653408e-05,-9.731839918131241,-9.788262005839192
2011-07-06,7.135419163362837e-05,-9.547854468273956,-9.143764882562124
2011-07-07,6.79061746778881e-05,-9.597383589715541,-10.036342705538114
2011-07-08,0.00017054479369010028,-8.67651257615542,-10.02541303225863
2011-07-10,2.9600190905465875e-05,-10.427729747146076,-9.766195602350901
2011-07-11,0.00010066653619939417,-9.203697125290862,-10.099877916030925
2011-07-12,0.000199682886822198,-8.518780015645138,-8.676431190203003
2011-07-13,0.00015519760720338229,-8.770811367837986,-9.993116505827066
2011-07-14,0.00015939633497370396,-8.744116784509233,-9.22626310319393
2011-07-15,0.00011545030535670948,-9.066670377241243,-9.298231326688219
2011-07-17,1.5598134804087986e-05,-11.068359214697622,-11.180818817798135
2011-07-18,0.00011421434191865733,-9.077433682649888,-8.7727759854621
2011-07-19,0.00010014867743369285,-9.208854701793936,-10.874581385819758
2011-07-20,8.301527968569976e-05,-9.396485874511846,-10.147698557754396
2011-07-21,0.0001304155815238452,-8.944784425396572,-10.37849871064888
2011-07-22,5.3824247616727475e-05,-9.829786493135233,-8.80093510573183
2011-07-24,0.00015750022168928908,-8.756083692148534,-9.924214701939963
2011-07-25,8.638298171756728e-05,-9.356719872417061,-9.64422400212243
2011-07-26,7.820203567792384e-05,-9.456214879064822,-8.034657296517235
2011-07-27,0.00010299413127823066,-9.180838549239196,-8.457960366949557
2011-07-28,0.00018669737188729385,-8.586021584177196,-8.76503395103194
2011-07-29,0.00019428087425408066,-8.546205640527322,-9.226646489219561
2011-07-31,0.0001981221934042161,-8.5266265792162,-8.871125037810389
2011-08-01,0.00022085754787934931,-8.417992644008802,-8.66806541338167
2011-08-02,0.00019618092727184168,-8.53647322620128,-8.901754662928218
2011-08-03,0.0003038092279233801,-8.099110593269245,-9.325183016834764
2011-08-04,0.0005631044890235287,-7.482045353752652,-8.881473709333497
2011-08-05,0.0013671140621096221,-6.595053284992167,-9.152891023147436
2011-08-07,0.0005712785897167457,-7.467633569364008,-10.098732062556211
2011-08-08,0.0014539117685839758,-6.533497583566239,-10.357097529639402
2011-08-09,0.002421175107950972,-6.0235022748723095,-10.424723678639793
2011-08-10,0.001433754234124214,-6.547458936343388,-10.864387245256022
2011-08-11,0.0012232871213152335,-6.706213681788914,-10.340062327234278
2011-08-12,0.0005639825218803492,-7.480487296520251,-11.105111363072584
2011-08-14,3.33779385477258e-05,-10.307615398745908,-10.190476439687975
2011-08-15,0.00021179487120421647,-8.459892340367706,-10.94490901146374
2011-08-16,0.0003745847015125614,-7.889692608316909,-9.84579271040349
2011-08-17,0.00023902525211506225,-8.338941354228915,-10.243114852195967
2011-08-18,0.0006488734753096548,-7.340272813563961,-8.824303963555888
2011-08-19,0.0006135313097422595,-7.396279260490821,-10.579118050009756
2011-08-21,0.00011073979643998913,-9.10832728475076,-11.370984329643473
2011-08-22,0.00048110402855996195,-7.639427035650271,-11.523621855812072
2011-08-23,0.00044586272645530715,-7.715499441537525,-11.87083763411037
2011-08-24,0.0004106591043169823,-7.797747117521016,-11.492573303309591
2011-08-25,0.0004800379071730152,-7.6416454839034476,-9.297443283251111
2011-08-26,0.0004991846006370974,-7.602534589467606,-8.658906367632557
2011-08-28,4.107392074891425e-05,-10.100137169519085,-10.364246804526688
2011-08-29,0.0001319105009794945,-8.933386888221987,-10.017852953891119
2011-08-30,0.00023122751592177262,-8.37210841474512,-10.67757457952106
2011-08-31,0.00019902174879107956,-8.522096448804108,-11.12029384254892
2011-09-01,0.00036278635270508154,-7.921696457009972,-11.129383421901043
2011-09-02,0.00026114077143634827,-8.250450941878505,-11.628143749620026
2011-09-04,4.102976926504401e-05,-10.10121267509304,-10.909714340145317
2011-09-05,0.00016455369919989016,-8.712273602123327,-10.942797141084748
2011-09-06,0.00037964580397113073,-7.8762718347271505,-10.21543128623477
2011-09-07,0.00018451366303919736,-8.597787042812591,-10.46098803163883
2011-09-08,0.00031434570774240315,-8.065017197618745,-11.948451487263874
2011-09-09,0.00038624538922907227,-7.859037667094579,-9.474769046995494
2011-09-11,0.00015808157772676,-8.752399343455565,-11.026281808425171
2011-09-12,0.00047285849810443795,-7.656714372570693,-11.92030875235047
2011-09-13,0.00047234985100047327,-7.657790637192235,-11.830633984336405
2011-09-14,0.0004079534443633831,-7.8043574970232985,-10.459454800630345
2011-09-15,0.0003538167200049135,-7.946731519003298,-9.646325157462522
2011-09-16,0.00020427210067647911,-8.496057626031389,-10.783540534472587
2011-09-18,0.00016416865066636255,-8.714616300815932,-12.246530084706501
2011-09-19,0.0002691535063440993,-8.220228685570126,-10.355653757882669
2011-09-20,0.00026551406962062806,-8.23384272576497,-8.91351223193868
2011-09-21,0.00042010613174607635,-7.775003183975256,-9.321203277771879
2011-09-22,0.0007757366165933174,-7.161697507000762,-8.418818253158449
2011-09-23,0.0006058414646461121,-7.408892215615557,-7.391712484555073
2011-09-25,0.00012215430397922403,-9.010225525685003,-8.240473680128504
2011-09-26,0.0006131951736253101,-7.396827281797802,-8.315686107002339
2011-09-27,0.00030454086897725046,-8.096705263146516,-10.401567955976537
2011-09-28,0.0003948267793152753,-7.837063422626085,-9.756830676209388
2011-09-29,0.0004998484657966526,-7.601205573883288,-9.856783905271802
2011-09-30,0.0004299085241914842,-7.751938106346255,-10.036246194473389
2011-10-02,5.0198711362235376e-05,-9.899521201671066,-10.372819063711367
2011-10-03,0.0006367887920768829,-7.359072523970768,-8.649725888414087
2011-10-04,0.0008789943481180659,-7.03673209019958,-7.640407731820014
2011-10-05,0.0004592865953792983,-7.685836151949991,-9.033057307731584
2011-10-06,0.00043843978435782093,-7.732288077456529,-8.655743388475162
2011-10-07,0.00051508172708739,-7.571184976517427,-8.889156789307961
2011-10-09,4.193794905674278e-05,-10.079319435528323,-9.473155632564056
2011-10-10,0.00018281201927864468,-8.607052150128457,-10.169493894273362
