datetime;HAR;RFSV;actuals
2018-11-21 19:00:00;-16.762708047993947;-15.050371611116642;-16.74608789253149
2018-11-21 19:05:00;-18.06817770982604;-15.350657999090483;-15.278628417062379
2018-11-21 19:10:00;-17.5898000902261;-15.160740374513875;-15.204589428832316
2018-11-21 19:15:00;-16.960296834935825;-15.189566797860163;-14.776235607899913
2018-11-21 19:20:00;-16.90394574626054;-15.608868632138451;-15.242440100953724
2018-11-21 19:25:00;-16.77330781422969;-15.03956548826563;-15.648355594628159
2018-11-21 19:30:00;-16.98116721552349;-15.089345177254659;-15.767269513738215
2018-11-21 19:35:00;-17.164995478870587;-15.313209973508092;-16.461570535104975
2018-11-21 19:40:00;-17.248958888628856;-14.977535373556684;-15.650773702532378
2018-11-21 19:45:00;-17.585335821019633;-15.324024527834016;-15.901675605133832
2018-11-21 19:50:00;-17.266612490424485;-16.03219502584336;-16.237763069370082
2018-11-21 19:55:00;-17.402867554010207;-15.485979283208781;-17.15422336178181
2018-11-21 20:00:00;-17.59588541725938;-14.309015522668421;-15.245155181926956
2018-11-21 20:05:00;-17.971035753221962;-15.319455358416057;-17.607914866217744
2018-11-21 20:10:00;-17.261927117416782;-14.832464729783778;-15.543692488106462
2018-11-21 20:15:00;-18.232032629895684;-15.357115622168855;-16.341345715859497
2018-11-21 20:20:00;-17.406637570035084;-14.466175792648134;-15.104305260158961
2018-11-21 20:25:00;-17.773635379788608;-15.977698750105112;-16.140600737552905
2018-11-21 20:30:00;-17.301424458882927;-15.54101417721018;-15.072266660132714
2018-11-21 20:35:00;-17.714534217924673;-15.253193916564065;-14.848197537754464
2018-11-21 20:40:00;-17.25573858709715;-14.743126403877438;-15.40196626295827
2018-11-21 20:45:00;-17.146218182429713;-15.747555253045654;-14.708035563358996
2018-11-21 20:50:00;-17.387820325721613;-15.50567670492133;-15.591999836918164
2018-11-21 20:55:00;-17.14543482334266;-15.45262567200338;-15.135197073671728
2018-11-21 21:00:00;-17.489575573581682;-15.65226878982757;-15.400899693696225
2018-11-21 21:05:00;-17.30016751636945;-15.682878062405946;-15.82870917365519
2018-11-21 21:10:00;-17.477576607649176;-15.671537876102748;-16.591106207320223
2018-11-21 21:15:00;-17.708765590793227;-15.306055986467753;-15.646437928282275
2018-11-21 21:20:00;-18.03286267626182;-15.153433397990538;-15.592109119583258
2018-11-21 21:25:00;-17.673016996146167;-14.65847872214199;-17.438511928207056
2018-11-21 21:30:00;-17.73921015753836;-15.706888004260342;-15.010341840658866
2018-11-21 21:35:00;-18.475168441255214;-14.991178991784885;-17.43788286286578
2018-11-21 21:40:00;-17.642991375683316;-15.648470432244586;-14.528098891631977
