datetime;GARCH;HAR;RFSV;actuals
2018-11-27 16:00:00;-13.76199532634734;-13.260474531334443;-14.340584658367396;-13.091097721707348
2018-11-27 18:00:00;-14.101910704737525;-13.070809410977693;-14.141188179768953;-14.157606384273505
2018-11-27 19:00:00;-14.456523475911084;-13.703977616356601;-14.132115037688106;-13.338843958450008
2018-11-27 20:00:00;-14.569683526846482;-14.241857888530872;-13.819422740304283;-13.54577677642142
2018-11-27 21:00:00;-14.486468485518857;-13.801095174900267;-14.048842612210422;-14.13145695399673
2018-11-27 22:00:00;-14.627363891880293;-13.947022182515623;-14.205515145884634;-14.343739347739504
2018-11-27 23:00:00;-14.698861540550777;-14.300132450275894;-13.95474902780273;-14.33050741698568
2018-11-28 00:00:00;-14.841728705368777;-14.444078058840935;-13.924437325753622;-14.632498420814573
2018-11-28 01:00:00;-14.842112855144565;-14.482753955480613;-14.299346625514806;-13.408035908362065
2018-11-28 02:00:00;-14.921877471033412;-14.645584830583127;-14.194812968842793;-13.771068785254885
2018-11-28 03:00:00;-14.955352428674683;-13.996351049944353;-14.591533110035908;-13.022702279446442
2018-11-28 04:00:00;-14.902657550157487;-14.193399045280083;-14.203945054678329;-13.162547817580222
2018-11-28 05:00:00;-14.975315774521693;-13.795105161542798;-14.49755900408708;-13.195232137751471
2018-11-28 06:00:00;-14.537356799029057;-13.883349659404738;-14.576072330133904;-13.598320546192097
2018-11-28 07:00:00;-14.724048107801105;-13.928846751277804;-14.62065127529245;-12.853446348048635
2018-11-28 08:00:00;-14.51893063929971;-14.146463081358656;-14.517777903013956;-13.378315960904537
2018-11-28 09:00:00;-14.073084691422839;-13.751278943186547;-14.18701817620988;-12.272176771770031
2018-11-28 10:00:00;-14.436121301305795;-14.01425889498544;-13.89088714950457;-12.080385747510705
2018-11-28 11:00:00;-14.192920820788974;-13.388451047295545;-14.272303584140607;-12.00642593359613
2018-11-28 12:00:00;-13.929991210340933;-13.270222576665423;-14.318870634917438;-10.353920819837239
2018-11-28 13:00:00;-14.36989112986141;-13.159460814391812;-14.308732098367164;-11.771348888893879
2018-11-28 14:00:00;-14.367147433303384;-12.261731198521906;-14.59155999930005;-11.572789790623188
2018-11-28 15:00:00;-14.515768455123078;-13.03292704544308;-14.168209744609364;-11.872623972415523
2018-11-28 16:00:00;-14.78300135961854;-12.920866071640544;-14.288855913020338;-12.685483770774868
2018-11-28 18:00:00;-14.784987963428135;-13.10376865910895;-14.447471358471727;-12.439754075770649
2018-11-28 19:00:00;-14.70796995237616;-13.533198356775648;-14.325593026554426;-13.721488119169807
2018-11-28 20:00:00;-14.908834422626809;-13.446127654608587;-14.184814824700538;-13.534004653006477
2018-11-28 21:00:00;-15.00195464934145;-14.13723474624767;-13.933685452457762;-13.919225718242618
2018-11-28 22:00:00;-15.08611437714457;-14.084470848148856;-14.478196322891304;-14.730325873960867
2018-11-28 23:00:00;-14.796036356457954;-14.362267754092619;-14.4309909950583;-15.018437014174646
2018-11-29 00:00:00;-14.786159660139026;-14.877411441966187;-14.710756616237012;-14.772653947154867
2018-11-29 01:00:00;-14.995123373618586;-15.090182957274067;-14.605845957790365;-14.365854033780087
2018-11-29 02:00:00;-15.120433588366279;-14.989303824485324;-14.424381200406568;-13.796576061094338
2018-11-29 03:00:00;-14.90834157742374;-14.77433163211429;-13.940428952610704;-13.080092681782322
2018-11-29 04:00:00;-15.053869237534961;-14.448591522270394;-14.30713266171209;-12.979536922574123
2018-11-29 05:00:00;-14.929928522166335;-14.051091874269726;-14.36666111541348;-13.271205293156061
2018-11-29 06:00:00;-15.11093281661574;-14.009684007396588;-14.331826166812487;-12.98118770988847
2018-11-29 07:00:00;-15.062296830175375;-14.176799598071426;-14.008005673753058;-13.17905392571675
2018-11-29 08:00:00;-14.984065267116808;-14.027789174707472;-13.964591755947723;-12.970557071493946
2018-11-29 09:00:00;-14.48511418621637;-14.130706762615711;-14.011554510357453;-12.006755514084798
2018-11-29 10:00:00;-11.833104086472375;-13.98982388149055;-14.232533262541454;-10.938647749778733
2018-11-29 11:00:00;-12.665352866638207;-13.39250513457061;-14.207720460395167;-11.332062755465927
2018-11-29 12:00:00;-13.545809218987717;-12.763168988495325;-14.160446887947733;-12.593805444751151
2018-11-29 13:00:00;-12.658823462004676;-13.001008794587543;-13.323397572033585;-12.620377955583962
2018-11-29 14:00:00;-13.56319690953865;-13.700102965731999;-13.82511215980579;-11.648098027305306
2018-11-29 15:00:00;-14.377241625012564;-13.66839415503818;-14.459192295425733;-11.917820171263145
2018-11-29 16:00:00;-14.802602926609753;-13.114787652233053;-13.625816063918608;-13.57069071938974
2018-11-29 18:00:00;-15.023385220281689;-13.310793027416397;-14.105465674210963;-13.859040507084346
2018-11-29 19:00:00;-14.927995561943597;-14.226560375025445;-13.937043694696804;-13.547977782826058
2018-11-29 20:00:00;-15.1542037855789;-14.375316804774362;-13.955610934617923;-13.661542121952989
2018-11-29 21:00:00;-14.910098222874614;-14.228061308243491;-14.221414399296535;-13.743976862533765
2018-11-29 22:00:00;-15.20092068934554;-14.313180732446794;-14.536598993525175;-14.821023655542628
2018-11-29 23:00:00;-15.322129989766347;-14.437893694850965;-14.484858131659214;-14.713708086140214
2018-11-30 00:00:00;-15.266248991344922;-15.256370667599219;-13.201481851322615;-14.127763038601636
2018-11-30 01:00:00;-14.943155814216952;-15.192302326161098;-14.447735118198551;-14.615446583346841
2018-11-30 02:00:00;-15.113341773630314;-14.859737171144179;-13.750319178039591;-14.543313967359719
2018-11-30 03:00:00;-15.309760563290597;-15.199212969327817;-13.70001714174244;-13.757743364211912
2018-11-30 04:00:00;-15.378642077751053;-15.145730958210315;-14.176035496326696;-13.637607479450926
2018-11-30 05:00:00;-15.091508933628106;-14.640842407158747;-13.255356951872889;-13.615903624584012
2018-11-30 06:00:00;-15.322235408456404;-14.569071331837725;-13.122938383877871;-13.835377407034418
2018-11-30 07:00:00;-13.918242017078887;-14.566909156648572;-12.946513772554331;-13.641428291241121
2018-11-30 08:00:00;-13.294694759440846;-14.712781892640718;-13.531613285957077;-11.703363831683632
2018-11-30 09:00:00;-14.104023653528584;-14.520739953387213;-12.962661126726669;-12.263109633112135
2018-11-30 10:00:00;-14.809333467528505;-13.274371943526154;-13.428758763007792;-12.244112299416903
2018-11-30 11:00:00;-13.235158435820356;-13.620294147240964;-13.295532620417596;-12.466472180623686
2018-11-30 12:00:00;-12.760981041884213;-13.605165935078007;-13.258520612726208;-12.811997664086828
2018-11-30 13:00:00;-13.614047917505347;-13.752882800868973;-13.754752839932964;-11.822086043598087
2018-11-30 14:00:00;-14.435700858407383;-13.94107608228168;-13.41109353796215;-12.500470771636557
